11:57:42 | MOVE_RIGHT | nose_x=0.65
11:57:43 | MOVE_LEFT | nose_x=0.50
11:57:44 | MOVE_LEFT | nose_x=0.42
11:57:45 | MOVE_LEFT | nose_x=0.42
11:57:46 | MOVE_LEFT | nose_x=0.41
11:57:47 | SMILE | ratio=0.47
11:57:47 | MOVE_LEFT | nose_x=0.41
11:57:47 | SMILE | ratio=0.47
11:57:47 | MOVE_LEFT | nose_x=0.41
11:57:47 | SMILE | ratio=0.46
11:57:47 | MOVE_LEFT | nose_x=0.41
11:57:47 | SMILE | ratio=0.45
11:57:47 | MOVE_LEFT | nose_x=0.42
11:57:47 | SMILE | ratio=0.45
11:57:47 | MOVE_LEFT | nose_x=0.42
11:57:47 | SMILE | ratio=0.45
11:57:47 | MOVE_LEFT | nose_x=0.42
11:57:47 | SMILE | ratio=0.45
11:57:47 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.45
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:48 | SMILE | ratio=0.46
11:57:48 | MOVE_LEFT | nose_x=0.42
11:57:49 | MOVE_LEFT | nose_x=0.43
11:57:50 | MOVE_LEFT | nose_x=0.43
11:57:51 | MOVE_LEFT | nose_x=0.43
11:57:52 | MOVE_LEFT | nose_x=0.43
11:57:53 | BLINK | EAR=0.16
11:57:53 | MOVE_LEFT | nose_x=0.43
11:57:54 | BLINK | EAR=0.06
11:57:54 | MOVE_LEFT | nose_x=0.39
11:57:55 | MOVE_RIGHT | nose_x=0.61
11:57:56 | MOVE_RIGHT | nose_x=0.64
11:57:57 | MOVE_LEFT | nose_x=0.48
11:57:58 | MOVE_LEFT | nose_x=0.41
11:57:59 | MOVE_LEFT | nose_x=0.41
11:58:00 | MOVE_LEFT | nose_x=0.41
11:58:01 | MOVE_LEFT | nose_x=0.17
11:58:02 | MOVE_LEFT | nose_x=0.44
11:58:02 | MOVE_RIGHT | nose_x=0.63
11:58:03 | MOVE_RIGHT | nose_x=0.72
11:58:04 | MOVE_LEFT | nose_x=0.50
11:58:05 | BLINK | EAR=0.18
11:58:05 | MOVE_LEFT | nose_x=0.44
11:58:06 | MOVE_LEFT | nose_x=0.44
11:58:07 | MOVE_LEFT | nose_x=0.42
11:58:08 | MOVE_LEFT | nose_x=0.46
11:58:09 | MOVE_LEFT | nose_x=0.46
11:58:10 | MOVE_LEFT | nose_x=0.41
11:58:11 | MOVE_LEFT | nose_x=0.41
11:58:12 | MOVE_RIGHT | nose_x=0.63
11:58:13 | MOVE_RIGHT | nose_x=0.69
11:58:14 | MOVE_LEFT | nose_x=0.50
11:58:15 | MOVE_LEFT | nose_x=0.41
11:58:16 | MOVE_RIGHT | nose_x=0.62
11:58:17 | MOVE_RIGHT | nose_x=0.68
11:58:18 | MOVE_LEFT | nose_x=0.49
11:58:19 | MOVE_LEFT | nose_x=0.43
11:58:20 | MOVE_RIGHT | nose_x=0.61
11:58:21 | MOVE_RIGHT | nose_x=0.64
11:58:22 | MOVE_RIGHT | nose_x=0.63
11:58:23 | MOVE_RIGHT | nose_x=0.63
11:58:24 | MOVE_RIGHT | nose_x=0.63
11:58:26 | MOVE_RIGHT | nose_x=0.61
11:58:26 | MOVE_LEFT | nose_x=0.47
11:58:27 | MOVE_LEFT | nose_x=0.38
11:58:28 | MOVE_RIGHT | nose_x=0.61
11:58:29 | MOVE_RIGHT | nose_x=0.64
11:58:30 | MOVE_LEFT | nose_x=0.46
11:58:31 | MOVE_LEFT | nose_x=0.45
11:58:32 | MOVE_RIGHT | nose_x=0.61
11:58:33 | MOVE_RIGHT | nose_x=0.63
11:58:34 | MOVE_RIGHT | nose_x=0.63
11:58:35 | MOVE_RIGHT | nose_x=0.63
11:58:36 | MOVE_RIGHT | nose_x=0.63
11:58:37 | MOVE_RIGHT | nose_x=0.63
11:58:38 | MOVE_RIGHT | nose_x=0.63
11:58:39 | MOVE_RIGHT | nose_x=0.63
11:58:40 | MOVE_RIGHT | nose_x=0.63
11:58:42 | BLINK | EAR=0.09
11:58:42 | MOVE_RIGHT | nose_x=0.63
11:58:43 | MOVE_RIGHT | nose_x=0.64
11:58:43 | MOVE_LEFT | nose_x=0.48
11:58:44 | MOVE_LEFT | nose_x=0.40
11:58:45 | MOVE_RIGHT | nose_x=0.61
11:58:46 | MOVE_RIGHT | nose_x=0.62
11:58:47 | MOVE_LEFT | nose_x=0.50
11:58:48 | BLINK | EAR=0.14
11:58:48 | MOVE_LEFT | nose_x=0.29
11:58:49 | MOVE_LEFT | nose_x=0.32
11:58:50 | MOVE_LEFT | nose_x=0.34
11:58:51 | MOVE_LEFT | nose_x=0.33
11:58:52 | MOVE_RIGHT | nose_x=0.61
11:58:54 | BLINK | EAR=0.20
11:58:55 | MOVE_RIGHT | nose_x=0.60
11:58:57 | BLINK | EAR=0.20
11:58:57 | MOVE_LEFT | nose_x=0.50
11:58:58 | BLINK | EAR=0.19
11:58:59 | MOVE_LEFT | nose_x=0.50
11:59:00 | MOVE_LEFT | nose_x=0.50
11:59:03 | MOVE_LEFT | nose_x=0.50
11:59:04 | MOVE_LEFT | nose_x=0.50
11:59:05 | MOVE_RIGHT | nose_x=0.61
11:59:06 | MOVE_LEFT | nose_x=0.50
11:59:07 | BLINK | EAR=0.21
11:59:07 | MOVE_LEFT | nose_x=0.48
11:59:08 | MOVE_RIGHT | nose_x=0.62
11:59:09 | MOVE_LEFT | nose_x=0.49
11:59:10 | MOVE_LEFT | nose_x=0.49
11:59:11 | MOVE_RIGHT | nose_x=0.66
11:59:15 | MOVE_RIGHT | nose_x=0.61
11:59:17 | MOVE_RIGHT | nose_x=0.62
11:59:18 | MOVE_RIGHT | nose_x=0.62
11:59:19 | MOVE_RIGHT | nose_x=0.62
11:59:20 | MOVE_RIGHT | nose_x=0.60
11:59:24 | MOVE_LEFT | nose_x=0.50
11:59:25 | MOVE_LEFT | nose_x=0.49
11:59:26 | MOVE_LEFT | nose_x=0.36
11:59:28 | MOVE_LEFT | nose_x=0.34
11:59:29 | MOVE_LEFT | nose_x=0.37
11:59:30 | MOVE_LEFT | nose_x=0.34
11:59:31 | MOVE_LEFT | nose_x=0.33
11:59:32 | SMILE | ratio=0.48
11:59:32 | MOVE_LEFT | nose_x=0.47
11:59:32 | BLINK | EAR=0.21
11:59:32 | MOVE_LEFT | nose_x=0.44
11:59:33 | MOVE_LEFT | nose_x=0.50
11:59:35 | MOVE_LEFT | nose_x=0.50
11:59:36 | BLINK | EAR=0.22
11:59:37 | LOCK_LOST | Target disappeared
